species_name,bin_uri,Habitat,Adult Diet,Larval Diet
Ablabesmyia illinoensis,1_1,Aquatic,N/A,Phytophagous
Boettcheria bisetosa,1_104,Terrestrial,Saprophagous,Saprophagous
Boreophorbia hirtipes,1_110,Terrestrial,Phytophagous,Phytophagous
Brachicoma devia,1_113,Terrestrial,Saprophagous,Saprophagous
Bradysia moestula,1_118,Terrestrial,N/A,Fungivore & Phytophagous
Calliphora vomitoria,1_124,Terrestrial,Saprophagous,Saprophagous
Aedes cinereus,1_14,Aquatic,Predaceous & Phytophagous,Omnivores 
Chaetochlorops inquilinus,1_156,Terrestrial,Phytophagous,Phytophagous
Cheilotrichia cinerascens,1_168,SemiAquatic,N/A,Saprophagous
Chelipoda elongata,1_170,Aquatic,Predaceous,Predaceous
Chrysotoxum ventricosum,1_181,Terrestrial,Phytophagous,Predaceous
Clistoabdominalis sp. TX4,1_192,Terrestrial,Phytophagous,Parasitic
Clusiodes johnsoni,1_195,Terrestrial,Saprophagous,Saprophagous
Acartophthalmus nigrinus,1_2,Terrestrial,N/A,Saprophagous
Coenosia transiens,1_204,Terrestrial,Predaceous,Predaceous
Coquillettidia perturbans,1_218,Aquatic,Predaceous & Phytophagous,Omnivores 
Allocotocera pulchella,1_22,Terrestrial,N/A,Fungivore
Cosmetopus longus,1_226,Terrestrial,Predaceous,Phytophagous
Cryptotendipes darbyi,1_235,Aquatic,N/A,Phytophagous
Ctenosciara hyalipennis,1_237,Terrestrial,N/A,Saprophagous
Cynomya cadaverina,1_247,Terrestrial,Saprophagous,Saprophagous
Derotanypus alaskensis,1_264,Aquatic,N/A,Phytophagous
Dinera grisescens,1_281,Terrestrial,Phytophagous,Parasitic
Discobola annulata,1_288,SemiAquatic,N/A,Saprophagous
Dorylomorpha borealis,1_299,Terrestrial,Phytophagous,Parasitic
Elephantomyia westwoodi,1_310,SemiAquatic,Phytophagous,Saprophagous
Epalpus signifer,1_316,Terrestrial,Phytophagous,Parasitic
Epichlorops scaber,1_318,Terrestrial,Phytophagous,Phytophagous
Eristalis brousii,1_327,Aquatic,Phytophagous,Saprophagous
Euhybus triplex,1_337,Terrestrial,Predaceous,Predaceous
Amblypsilopus scintillans,1_35,SemiAquatic,Predaceous,Predaceous
Eutrichota tunicata,1_356,Terrestrial,Phytophagous,Phytophagous
Eutrixa exilis,1_357,Terrestrial,Phytophagous,Parasitic
Fletcherimyia fletcheri,1_368,Terrestrial,Saprophagous,Saprophagous
Geomyza tripunctata,1_374,Terrestrial,N/A,Phytophagous
Graphomya minuta,1_386,Terrestrial,Saprophagous,Saprophagous
Hercostomus unicolor,1_416,SemiAquatic,Predaceous,Predaceous
Herina nigribasis,1_417,Terrestrial,Phytophagous,Phytophagous
Heterogenella hybrida,1_421,Terrestrial,N/A,Phytophagous
Heteromyza oculata,1_422,Terrestrial,N/A,Saprophagous
Hybos reversus,1_435,Terrestrial,Predaceous,Predaceous
Hydrobaenus conformis,1_437,Aquatic,N/A,Phytophagous
Hydrophoria lancifer,1_438,Terrestrial,Phytophagous,Phytophagous
Hylemyza partita,1_443,Terrestrial,Phytophagous,Phytophagous
Hyperlasion wasmanni,1_444,Terrestrial,N/A,Saprophagous
Lauterborniella agrayloides,1_473,Aquatic,N/A,Phytophagous
Lecanocerus compressiceps,1_475,Terrestrial,Saprophagous,Saprophagous
Leiomyza curvinervis,1_477,Terrestrial,Fungivore,Fungivore
Leptocera neofinalis,1_480,SemiAquatic,N/A,Saprophagous
Leucophenga varia,1_491,Terrestrial,Saprophagous,Saprophagous
Mayetiola destructor,1_531,Terrestrial,N/A,Phytophagous
Megaphthalma pallida,1_535,Terrestrial,Predaceous,Phytophagous
Melangyna lasiophthalma,1_541,Terrestrial,Phytophagous,Predaceous
Melanostoma mellinum,1_546,Terrestrial,Phytophagous,Predaceous
Meligramma triangulifera,1_548,Terrestrial,Phytophagous,Predaceous
Meliscaeva cinctella,1_549,Terrestrial,Phytophagous,Predaceous
Aphanotrigonum trilineatum,1_55,Terrestrial,Phytophagous,Phytophagous
Micropsectra insignilobus,1_571,Aquatic,N/A,Phytophagous
Monoclona rufilatera,1_580,Terrestrial,N/A,Fungivore
Monopelopia tenuicalcar,1_582,Aquatic,N/A,Predaceous
Morellia podagrica,1_583,Terrestrial,Saprophagous,Saprophagous
Mumetopia occipitalis,1_585,Terrestrial,N/A,Saprophagous
Myospila meditabunda,1_598,Terrestrial,Saprophagous,Saprophagous
Aptilotus parvipennis,1_61,SemiAquatic,N/A,Saprophagous
Neomyia cornicina,1_614,Terrestrial,Saprophagous,Saprophagous
Nephrotoma ferruginea,1_622,Aquatic,Saprophagous,Saprophagous
Nilotanypus fimbriatus,1_627,Aquatic,N/A,Phytophagous
Arctopelopia melanosoma,1_63,Aquatic,N/A,Phytophagous
Oedalea lanceolata,1_635,Terrestrial,Predaceous,Predaceous
Opalimosina mirabilis,1_642,SemiAquatic,N/A,Saprophagous
Paralauterborniella nigrohalteralis,1_674,Aquatic,N/A,Phytophagous
Parametriocnemus boreoalpinus,1_675,Aquatic,N/A,Phytophagous
Parasyrphus vockerothi,1_682,Terrestrial,Phytophagous,Predaceous
Parochlus kiefferi,1_688,Aquatic,N/A,Phytophagous
Asteromyia carbonifera,1_70,Terrestrial,N/A,Fungivore
Pentacricia aldrichii,1_700,Terrestrial,Predaceous,Predaceous
Penthetria heteroptera,1_701,Terrestrial,N/A,Saprophagous
Phormia regina,1_719,Terrestrial,Phytophagous,Saprophagous
Platycheirus rosarum,1_739,Terrestrial,Phytophagous,Predaceous
Platymya confusionis,1_740,Terrestrial,Phytophagous,Parasitic
Pogonota barbata,1_747,Terrestrial,Predaceous,Phytophagous
Pollenia vagabunda,1_749,Terrestrial,Phytophagous,Parasitic
Prosciara prosciaroides,1_762,Terrestrial,N/A,Saprophagous
Protophormia terraenovae,1_766,Terrestrial,Saprophagous,Saprophagous
Psectrotanypus sp. ES01,1_769,Aquatic,N/A,Phytophagous
Pseudacteon onyx,1_770,Terrestrial,Saprophagous,Saprophagous
Pseudopachychaeta ruficeps,1_780,Terrestrial,Phytophagous,Phytophagous
Pseudorthocladius curtistylus,1_782,Aquatic,N/A,Phytophagous
Ravinia stimulans,1_799,Terrestrial,Saprophagous,Saprophagous
Rhagio gracilis,1_802,Terrestrial,Predaceous,Predaceous
Rheosmittia spinicornis,1_808,Aquatic,N/A,Phytophagous
Rhingia nasica,1_810,Terrestrial,Phytophagous,Phytophagous
Rhopalopterum soror,1_814,Terrestrial,Phytophagous,Phytophagous
Rondaniella dimidiata,1_817,Terrestrial,N/A,Fungivore
Saigusaia cincta,1_822,Terrestrial,N/A,Fungivore
Saltella sphondylii,1_823,Terrestrial,Saprophagous & Phytophagous,Saprophagous & Phytophagous
Schizohelea leucopeza,1_836,SemiAquatic,Predaceous & Phytophagous,Omnivores 
Schoenomyza litorella,1_837,Terrestrial,Predaceous,Predaceous
Azelia cilipes,1_84,Terrestrial,Saprophagous,Saprophagous
Shannonomyia lenta,1_852,SemiAquatic,N/A,Saprophagous
Siphonella oscinina,1_855,Terrestrial,Phytophagous,Phytophagous
Smidtia fumiferanae,1_858,Terrestrial,Phytophagous,Parasitic
Stomoxys calcitrans,1_889,SemiAquatic,Predaceous,Predaceous
Belida chaetoneura,1_89,Terrestrial,Phytophagous,Parasitic
Suillia longipennis,1_896,Terrestrial,N/A,Fungivore
Sylvicola fuscatus,1_897,Terrestrial,Phytophagous,Predaceous
