BIN ,Species,FST,GST,JD,adult_diet,larval_diet,habitat
3,Corynoneura_arctica,0.009061559,0.05722818,0.03998597,Phytophagous,Phytophagous,Aquatic
17,Lycoriella_flavipeda,0.007361448,0.05420558,0.04017748,Fungivore,Fungivore,Terrestrial
18,Lycoriella_riparia,0.009906318,0.2263127,0.2108305,Fungivore,Fungivore,Terrestrial
20,Lycoriella_flavipeda2,-0.000396123,-0.002102246,-0.001308648,Fungivore,Fungivore,Terrestrial
21,Lycoriella_flavipeda3,0.01842536,0.1563546,0.1246821,Fungivore,Fungivore,Terrestrial
53,Drymeia_groenlandica,-0.001515311,-0.00386498,-0.000827247,Phytophagous,Phytophagous,Terrestrial
79,Megaselia_cirriventris,0.01426704,0.04248895,0.01477181,Saprophagous,Saprophagous,Terrestrial
86,Camptochaeta_delicata,0.01050394,0.06914804,0.04938522,Fungivore,Fungivore,Terrestrial
126,Paraphaenocladius_impensus,0.01003974,0.03707437,0.01754323,Phytophagous,Phytophagous,Aquatic
148,Phytomyza_puccinelliae,0.0178444,0.3232733,0.2986829,Phytophagous,Phytophagous,Terrestrial
163,Smittia_extrema,0.02185725,0.1802979,0.1436643,Phytophagous,Phytophagous,Terrestrial
221,Megaselia_cirriventris2,0.008359457,0.01948339,0.00295203,Saprophagous,Saprophagous,Terrestrial
238,Diamesa_arctica,0.004667,0.1101754,0.1018308,Saprophagous,Saprophagous,Aquatic
239,Diamesa_chorea,0.0403281,0.2020789,0.1350171,Saprophagous,Saprophagous,Aquatic
243,Limnophyes_ninae,0.002588113,0.01938138,0.01429231,Phytophagous,Phytophagous,Aquatic
255,Limnophyes_brachytomus,0.03360474,0.2139753,0.15931,Phytophagous,Phytophagous,Aquatic
256,Limnophyes_brachytomus2,0.01229281,0.2116782,0.1920556,Phytophagous,Phytophagous,Aquatic
257,Cricotopus_patens,0.02512471,0.2692958,0.2316321,Phytophagous,Phytophagous,Aquatic
263,Limnophyes_pumilio,0.06757694,0.2613662,0.1543019,Phytophagous,Phytophagous,Aquatic
