BIN ,Species,FST,GST,JD,adult_diet,larval_diet,habitat
AAB0080,Corynoneura_arctica,0.007806708,0.3100548,0.2991976,N/A,Phytophagous,Aquatic
AAB7912,Limnophyes_brachytomus,0.002540066,0.1507594,0.1464341,N/A,Phytophagous,Aquatic
AAC4201,Paraphaenocladius_impensus,0.006099281,0.195196,0.1853183,N/A,Phytophagous,Aquatic
AAC8434,Nephrotoma_lundbecki,0.02882039,0.3796758,0.3428588,Saprophagous,Saprophagous,Aquatic
AAC9614,Protophormia_terraenovae,0.04424108,0.8374168,0.8223652,Saprophagous,Saprophagous,Terrestrial
AAD7061,Diamesa_arctica,0.01088903,0.7814539,0.776642,N/A,Saprophagous,Aquatic
AAE8704,Smittia_extrema,0.01580975,0.470475,0.4534627,N/A,Phytophagous,Terrestrial
AAL7378,Cricotopus_patens,0.04980843,0.7498992,0.7236789,N/A,Phytophagous,Aquatic
AAL7869,Lycoriella_flavipeda,0.002656152,0.158952,0.1544722,N/A,Fungivore,Terrestrial
AAL9235,Limnophyes_pumilio,0.0250694,0.892001,0.8864469,N/A,Phytophagous,Aquatic
AAL9801,Drymeia_groenlandica,0.04150267,0.4282828,0.3787724,Phytophagous,Phytophagous,Terrestrial
AAM0255,Diamesa_chorea,0.01367758,0.2251189,0.2036279,N/A,Saprophagous,Aquatic
AAM9109,Spilogona_sanctipauli,0.01115458,0.1775858,0.1590315,Predaceous,Predaceous,Terrestrial
AAP8779,Camptochaeta_delicata,0.008071877,0.248389,0.2361564,N/A,Fungivore,Terrestrial
AAU3704,Limnophyes_ninae,0.006194672,0.3590072,0.3510163,N/A,Phytophagous,Aquatic
AAZ6073,Lycoriella_riparia,0.00841739,0.2315696,0.2185234,N/A,Fungivore,Terrestrial
AAZ6184,Megaselia_cirriventris,0.02317544,0.6942872,0.6797809,Saprophagous,Saprophagous,Terrestrial
ACA8845,Phytomyza_puccinelliae,0.009812669,0.2816259,0.2673879,Phytophagous,Phytophagous,Terrestrial
ACI8602,Limnophyes_brachytomus,0.03350955,0.7139865,0.6941536,N/A,Phytophagous,Aquatic
ACM4349,Limnophyes_brachytomus,0.006481457,0.1431574,0.1319778,N/A,Phytophagous,Aquatic
