species_name,bin_uri,region,lat,lon,FST,GST,JD,Habitat,Adult Diet,Larval Diet
Delia platura,AAA3453,150,41.36029,-84.12637,1,4,3,1,1,1
Delia platura,AAA3453,207,41.36029,-84.12637,1,4,3,1,1,1
Delia platura,AAA3453,150,41.36029,-84.12637,1,2,2,1,1,1
Delia platura,AAA3453,199,44.42601,-78.75,1,2,2,1,1,1
Delia platura,AAA3453,150,41.36029,-84.12637,1,2,2,1,1,1
Delia platura,AAA3453,190,45.55804,-72.84134,1,2,2,1,1,1
Delia platura,AAA3453,150,41.36029,-84.12637,1,2,2,1,1,1
Delia platura,AAA3453,122,51.57367,-119.4378,1,2,2,1,1,1
Delia platura,AAA3453,150,41.36029,-84.12637,1,3,1,1,1,1
Delia platura,AAA3453,163,50.79254,-65.82074,1,3,1,1,1,1
Delia platura,AAA3453,150,41.36029,-84.12637,1,4,4,1,1,1
Delia platura,AAA3453,105,59.89824,-111.7212,1,4,4,1,1,1
Delia platura,AAA3453,150,41.36029,-84.12637,1,2,2,1,1,1
Delia platura,AAA3453,142,51.99328,-105.47381,1,2,2,1,1,1
Delia platura,AAA3453,207,41.36029,-84.12637,1,3,3,1,1,1
Delia platura,AAA3453,199,44.42601,-78.75,1,3,3,1,1,1
Delia platura,AAA3453,207,41.36029,-84.12637,1,3,3,1,1,1
Delia platura,AAA3453,190,45.55804,-72.84134,1,3,3,1,1,1
Delia platura,AAA3453,207,41.36029,-84.12637,1,3,3,1,1,1
Delia platura,AAA3453,122,51.57367,-119.4378,1,3,3,1,1,1
Delia platura,AAA3453,207,41.36029,-84.12637,1,4,4,1,1,1
Delia platura,AAA3453,163,50.79254,-65.82074,1,4,4,1,1,1
Delia platura,AAA3453,207,41.36029,-84.12637,1,3,3,1,1,1
Delia platura,AAA3453,105,59.89824,-111.7212,1,3,3,1,1,1
Delia platura,AAA3453,207,41.36029,-84.12637,1,3,3,1,1,1
Delia platura,AAA3453,142,51.99328,-105.47381,1,3,3,1,1,1
Delia platura,AAA3453,141,47.89626,-115.96,1,2,2,1,1,1
Delia platura,AAA3453,171,49.72995,-85.08052,1,2,2,1,1,1
Delia platura,AAA3453,141,47.89626,-115.96,1,2,2,1,1,1
Delia platura,AAA3453,132,51.98825,-112.469,1,2,2,1,1,1
Smittia sp. ES12,AAB0377,126,59.11463,-62.81647,2,4,4,1,4,1
Smittia sp. ES12,AAB0377,67,61.70988,-134.0633,2,4,4,1,4,1
Smittia sp. ES12,AAB0377,126,59.11463,-62.81647,1,3,3,1,4,1
Smittia sp. ES12,AAB0377,122,51.57367,-119.4378,1,3,3,1,4,1
Smittia sp. ES12,AAB0377,126,59.11463,-62.81647,2,4,4,1,4,1
Smittia sp. ES12,AAB0377,124,59.11463,-94.68353,2,4,4,1,4,1
Smittia sp. ES12,AAB0377,126,59.11463,-62.81647,1,3,3,1,4,1
Smittia sp. ES12,AAB0377,132,51.98825,-112.469,1,3,3,1,4,1
Smittia sp. ES12,AAB0377,67,61.70988,-134.0633,1,3,3,1,4,1
Smittia sp. ES12,AAB0377,40,69.6311,-139.40633,1,3,3,1,4,1
Smittia sp. ES12,AAB0377,67,61.70988,-134.0633,1,3,3,1,4,1
Smittia sp. ES12,AAB0377,122,51.57367,-119.4378,1,3,3,1,4,1
Smittia sp. ES12,AAB0377,67,61.70988,-134.0633,1,4,4,1,4,1
Smittia sp. ES12,AAB0377,124,59.11463,-94.68353,1,4,4,1,4,1
Smittia sp. ES12,AAB0377,67,61.70988,-134.0633,1,3,3,1,4,1
Smittia sp. ES12,AAB0377,132,51.98825,-112.469,1,3,3,1,4,1
Smittia sp. ES12,AAB0377,40,69.6311,-139.40633,1,2,2,1,4,1
Smittia sp. ES12,AAB0377,122,51.57367,-119.4378,1,2,2,1,4,1
Smittia sp. ES12,AAB0377,40,69.6311,-139.40633,1,4,4,1,4,1
Smittia sp. ES12,AAB0377,124,59.11463,-94.68353,1,4,4,1,4,1
Smittia sp. ES12,AAB0377,40,69.6311,-139.40633,1,3,3,1,4,1
Smittia sp. ES12,AAB0377,132,51.98825,-112.469,1,3,3,1,4,1
Smittia sp. ES12,AAB0377,122,51.57367,-119.4378,1,4,4,1,4,1
Smittia sp. ES12,AAB0377,124,59.11463,-94.68353,1,4,4,1,4,1
Smittia sp. ES12,AAB0377,122,51.57367,-119.4378,1,3,3,1,4,1
Smittia sp. ES12,AAB0377,132,51.98825,-112.469,1,3,3,1,4,1
Smittia sp. ES12,AAB0377,124,59.11463,-94.68353,1,4,4,1,4,1
Smittia sp. ES12,AAB0377,132,51.98825,-112.469,1,4,4,1,4,1
Paratanytarsus laccophilus,AAC8842,248,47.45135,-60.6792,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,104,55.11228,-123.4828,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,248,47.45135,-60.6792,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,77,63.0272,-125.37963,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,248,47.45135,-60.6792,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,199,44.42601,-78.75,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,248,47.45135,-60.6792,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,124,59.11463,-94.68353,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,248,47.45135,-60.6792,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,163,50.79254,-65.82074,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,248,47.45135,-60.6792,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,190,45.55804,-72.84134,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,248,47.45135,-60.6792,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,122,51.57367,-119.4378,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,248,47.45135,-60.6792,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,40,69.6311,-139.40633,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,248,47.45135,-60.6792,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,171,49.72995,-85.08052,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,248,47.45135,-60.6792,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,87,63.75005,-116.0492,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,248,47.45135,-60.6792,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,59,66.41751,-131.77342,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,248,47.45135,-60.6792,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,132,51.98825,-112.469,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,248,47.45135,-60.6792,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,142,51.99328,-105.47381,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,248,47.45135,-60.6792,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,131,47.30617,-122.3507,1,4,4,2,4,2
Paratanytarsus laccophilus,AAC8842,248,47.45135,-60.6792,1,4,4,2,4,2
