Species,FST,GST,JD,adult_diet,larval_diet,habitat,flight_ability,range_size
Corynoneura_arctica,0.01052064,0.07564655,0.05599017,Phytophagous,Phytophagous,Aquatic,Yes,314919434
Limnophyes_brachytomus,0.0556,0.3488,0.3196,Phytophagous,Phytophagous,Aquatic,Yes,108844.8
Paraphaenocladius_impensus,0.01003974,0.03707437,0.01754323,Phytophagous,Phytophagous,Aquatic,Yes,0
Nephrotoma_lundbecki,0.0584284,0.3481966,0.2673025,Saprophagous,Saprophagous,Semi-Aquatic,Yes,94961027
Protophormia_terraenovae,0.03721198,0.2332645,0.1739955,Saprophagous,Saprophagous,Terrestrial,Yes,8005.932
Diamesa_arctica,0.004667,0.1101754,0.1018308,Saprophagous,Saprophagous,Aquatic,Yes,27031.91
Smittia_extrema,0.02185725,0.1802979,0.1436643,Phytophagous,Phytophagous,Terrestrial,Yes,1.09E+05
Cricotopus_patens,0.02512471,0.2692958,0.2316321,Phytophagous,Phytophagous,Aquatic,Yes,171173.6
Lycoriella_flavipeda,0.005810472,0.04009822,0.02887806,Fungivore,Fungivore,Terrestrial,Yes,2271867
Limnophyes_pumilio,0.07349789,0.2919362,0.1795971,Phytophagous,Phytophagous,Aquatic,Yes,151127544
Drymeia_groenlandica,0.0405771,0.4387897,0.3913189,Phytophagous,Phytophagous,Terrestrial,Yes,8679.134
Diamesa_chorea,0.0403281,0.2020789,0.1350171,Saprophagous,Saprophagous,Aquatic,Yes,22030896
Spilogona_sanctipauli,0.01975691,0.1393709,0.1046788,Predaceous,Predaceous,Terrestrial,Yes,8005.932
Camptochaeta_delicata,0.01050394,0.06914804,0.04938522,Fungivore,Fungivore,Terrestrial,Yes,71751.18
Limnophyes_ninae,0.002588113,0.01938138,0.01429231,Phytophagous,Phytophagous,Aquatic,Yes,108844.8
Lycoriella_riparia,0.009906318,0.2263127,0.2108305,Fungivore,Fungivore,Terrestrial,Yes,76259.19
Megaselia_cirriventris,0.1078309,0.5528524,0.4447645,Saprophagous,Saprophagous,Terrestrial,Yes,122164.3
Phytomyza_puccinelliae,0.0178444,0.3232733,0.2986829,Phytophagous,Phytophagous,Terrestrial,Yes,1.08E+05
