species_name,bin_uri,Habitat,Adult Diet,Larval Diet
Prosimulium travisi,AAA1296,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding and Predaceous
Simulium verecundum complex,AAA1697,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Helicobia rapax,AAA1962,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Parasitoid
Drosophila subquinaria,AAA2674,Terrestrial,Saprophagous,Mycophagous
Stomoxys calcitrans,AAA3181,Terrestrial,Nectar/Pollen/Honeydew Feeding and Parasitic,Saprophagous
Musca autumnalis,AAA3187,Terrestrial,"Nectar/Pollen/Honeydew Feeding, Saprophagous and Parasitic",Saprophagous
Cheilosia latrans,AAA3293,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Hybomitra frontalis,AAA3296,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Predaceous
Delia platura,AAA3453,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Tanytarsus mendax,AAA3776,Aquatic,NonFeeding,Detritus and Algae Feeding
Simulium vittatum complex,AAA4121,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Simulium venustum/truncatum,AAA4264,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Toxomerus marginatus,AAA4277,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Syrphus ribesii,AAA4570,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Cricotopus tibialis,AAA5300,Aquatic,NonFeeding,Leaf/Root/Stem Feeding and Detritus and Algae Feeding
Cricotopus intersectus,AAA5302,Aquatic,NonFeeding,Leaf/Root/Stem Feeding and Detritus and Algae Feeding
Cricotopus obnixus,AAA5307,Aquatic,NonFeeding,Leaf/Root/Stem Feeding and Detritus and Algae Feeding
Cricotopus sp. 7ES,AAA5308,Aquatic,NonFeeding,Leaf/Root/Stem Feeding and Detritus and Algae Feeding
