species_name,bin_uri,Habitat,Adult Diet,Larval Diet
Ablabesmyia illinoensis,1_1,Aquatic,NonFeeding,Predaceous
Boettcheria bisetosa,1_104,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous or Parasitoid
Boreophorbia hirtipes,1_110,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding or Saprophagous
Brachicoma devia,1_113,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Parasitoid
Bradysia moestula,1_118,Terrestrial,NonFeeding,"Leaf/Root/Stem Feeding, Mycophagous and Saprophagous"
Calliphora vomitoria,1_124,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Aedes cinereus,1_14,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Chaetochlorops inquilinus,1_156,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Cheilotrichia cinerascens,1_168,Aquatic,NonFeeding,Saprophagous
Chelipoda elongata,1_170,Aquatic,Nectar/Pollen/Honeydew Feeding and Predaceous,Predaceous
Chrysotoxum ventricosum,1_181,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Clistoabdominalis sp. TX4,1_192,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Clusiodes johnsoni,1_195,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Unclear
Acartophthalmus nigrinus,1_2,Terrestrial,Unclear,Saprophagous
Coenosia transiens,1_204,Terrestrial,Predaceous,Predaceous
Coquillettidia perturbans,1_218,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Allocotocera pulchella,1_22,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Cosmetopus longus,1_226,Terrestrial,Predaceous,Leaf/Root/Stem Feeding
Cryptotendipes darbyi,1_235,Aquatic,NonFeeding,Detritus and Algae Feeding
Ctenosciara hyalipennis,1_237,Terrestrial,NonFeeding,Saprophagous
Cynomya cadaverina,1_247,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Derotanypus alaskensis,1_264,Aquatic,NonFeeding,Predaceous
Dinera grisescens,1_281,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Discobola annulata,1_288,Aquatic,NonFeeding,Saprophagous
Dorylomorpha borealis,1_299,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Elephantomyia westwoodi,1_310,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Epalpus signifer,1_316,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Epichlorops scaber,1_318,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Eristalis brousii,1_327,Aquatic,Nectar/Pollen/Honeydew Feeding,Saprophagous
Euhybus triplex,1_337,Terrestrial,Predaceous,Predaceous
Amblypsilopus scintillans,1_35,SemiAquatic,Predaceous,Predaceous
Eutrichota tunicata,1_356,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding or Saprophagous
Eutrixa exilis,1_357,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
